A-site cation,B-site cation,X-site anion,A1,A2,A3,B1,B2,X1,X2,X3,Bg,VBM,CBM
FAMACs,PbSn,BrClI,0,1,0,1,0,0,0,3,1.55,-5.45,-3.9
FAMACs,PbSn,BrClI,0,0,1,1,0,0,0,3,1.8,-5.4,-3.6
FAMACs,PbSn,BrClI,0,0,1,1,0,0.99,0,2.01,1.91,-5.6,-3.69
FAMACs,PbSn,BrClI,0,0,1,1,0,3,0,0,2.3,-5.6,-3.3
FAMACs,PbSn,BrClI,0.5,0.5,0,0.5,0.5,0,0,3,1.25,-5.4,-4.15
FAMACs,PbSn,BrClI,0,1,0,1,0,0,0,3,1.61,-5.67,-4.06
FAMACs,PbSn,BrClI,0,1,0,1,0,0.99,0,2.01,1.79,-5.64,-3.85
FAMACs,PbSn,BrClI,0,0,1,1,0,0.99,0,2.01,1.82,-5.58,-3.76
FAMACs,PbSn,BrClI,0,0,1,1,0,2.01,0,0.99,2.08,-6,-3.92
FAMACs,PbSn,BrClI,0,0,1,0.4,0.6,0.6,0,2.4,1.35,-5.21,-3.86
FAMACs,PbSn,BrClI,0,0,1,0.4,0.6,0,0,3,1.3,-4.96,-3.66
FAMACs,PbSn,BrClI,0,0,1,0.4,0.6,0.3,0,2.7,1.33,-5.09,-3.76
FAMACs,PbSn,BrClI,0,0,1,0.4,0.6,0.999,0,2.001,1.42,-5.48,-4.06
FAMACs,PbSn,BrClI,0,1,0,0,1,0.999,0,2.001,1.56,-5.52,-3.96
FAMACs,PbSn,BrClI,0,1,0,0,1,2.001,0,0.999,1.75,-5.53,-3.78
FAMACs,PbSn,BrClI,0,1,0,0,1,3,0,0,2.15,-5.54,-3.39
FAMACs,PbSn,BrClI,1,0,0,0,1,0,0,3,1.4,-5.9,-4.5
FAMACs,PbSn,BrClI,0,1,0,0.95,0.05,0,0,3,1.5,-5.32,-3.82
FAMACs,PbSn,BrClI,0,1,0,0.9,0.1,0,0,3,1.46,-5.12,-3.66
FAMACs,PbSn,BrClI,0,1,0,1,0,0,0,3,1.6,-5.45,-3.85
FAMACs,PbSn,BrClI,0,1,0,0.75,0.25,0,0,3,1.38,-4.96,-3.58
FAMACs,PbSn,BrClI,0,1,0,0.5,0.5,0.6,0,2.4,1.35,-5.08,-3.73
FAMACs,PbSn,BrClI,0.25,0.75,0,0,1,0,0,3,1.28,-4.81,-3.53
FAMACs,PbSn,BrClI,0.5,0.5,0,0,1,0,0,3,1.3,-4.85,-3.55
FAMACs,PbSn,BrClI,0,1,0,0,1,0,0,3,1.26,-4.74,-3.48
FAMACs,PbSn,BrClI,0.75,0.25,0,0,1,0,0,3,1.33,-4.88,-3.55
FAMACs,PbSn,BrClI,0.9,0.1,0,1,0,0.3,0,2.7,1.6,-5.6,-4
FAMACs,PbSn,BrClI,0.15,0.85,0,1,0,0.45,0,2.55,1.75,-5.65,-3.9
