Perovskite,A1,A2,A3,B1,B2,X1,X2,X3,Mean_Bg
MAFACsPbSnBrClI,0.83,0,0.17,1,0,0.6,0,2.4,1.61
MAFACsPbSnBrClI,0,0,1,1,0,1.5,1.5,0,2.49
MAFACsPbSnBrClI,0.72,0.15,0.13,1,0,0.501,0,2.499,1.63
MAFACsPbSnBrClI,0.75,0.15,0.1,0.75,0.25,0.501,0,2.499,1.36
MAFACsPbSnBrClI,0.8,0,0.2,0.25,0.75,0,0,3,1.2
MAFACsPbSnBrClI,0.37,0.6,0.03,1,0,0.024,0,2.976,1.6
MAFACsPbSnBrClI,0,1,0,0.75,0.25,1.8,0,1.2,1.73
MAFACsPbSnBrClI,0.66,0.34,0,1,0,0.42,0,2.58,1.62
MAFACsPbSnBrClI,0.78,0.16,0.06,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0,1,0,1,0,0.075,0,2.925,1.613
MAFACsPbSnBrClI,0.73,0.2,0.07,1,0,0.471,0,2.529,1.6
MAFACsPbSnBrClI,0.83,0,0.17,0.8,0.2,0,0,3,1.35
MAFACsPbSnBrClI,0.75,0,0.25,1,0,0.51,0,2.49,1.63
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0.6,0,2.4,1.48
MAFACsPbSnBrClI,0.85,0,0.15,1,0,0.12,0,2.88,1.6
MAFACsPbSnBrClI,0.8,0.15,0.05,1,0,0.45,0,2.55,1.606
MAFACsPbSnBrClI,0.82,0.18,0,1,0,0.531,0,2.46,1.64
MAFACsPbSnBrClI,0.45,0.5,0.05,0.5,0.5,0,0,3,1.26
MAFACsPbSnBrClI,0.57,0.38,0.05,1,0,0,0,3,1.54
MAFACsPbSnBrClI,0,0,1,1,0,2.4,0.6,0,2.33
MAFACsPbSnBrClI,0.8075,0.1425,0.05,1,0,0.45,0,2.55,1.616
MAFACsPbSnBrClI,0.7,0,0.3,1,0,0.768,0,2.232,1.72
MAFACsPbSnBrClI,0.6,0.2,0.2,1,0,0.768,0,2.232,1.7
MAFACsPbSnBrClI,0,0,1,0.6,0.4,0,0,3,1.38
MAFACsPbSnBrClI,0.17,0.83,0,1,0,3,0,0,2.296
MAFACsPbSnBrClI,0.6,0.2,0.2,1,0,0.285,0,2.715,1.64
MAFACsPbSnBrClI,0.8,0,0.2,1,0,0.768,0,2.232,1.71
MAFACsPbSnBrClI,0.79,0.16,0.05,1,0,1.5,0,1.5,1.85
MAFACsPbSnBrClI,0,1,0,1,0,1.8,0,1.2,1.92
MAFACsPbSnBrClI,0,0.98,0.02,1,0,0.06,0,2.94,1.6
MAFACsPbSnBrClI,0.33,0.67,0,1,0,2.001,0,0.999,1.974
MAFACsPbSnBrClI,0,1,0,1,0,0.3,0,2.7,1.65
MAFACsPbSnBrClI,0,1,0,1,0,1.77,0,1.23,1.96
MAFACsPbSnBrClI,0.6,0.4,0,0.4,0.6,0,0,3,1.25
MAFACsPbSnBrClI,0.78,0.14,0.08,1,0,0.42,0,2.58,1.61
MAFACsPbSnBrClI,0.2,0.6,0.2,1,0,0,0,3,1.634
MAFACsPbSnBrClI,0.9,0,0.1,1,0,0.099,0,2.901,1.55
MAFACsPbSnBrClI,1,0,0,1,0,0.6,0,2.4,1.57
MAFACsPbSnBrClI,0.5,0.5,0,0.5,0.5,0,0,3,1.254
MAFACsPbSnBrClI,0,1,0,0.4,0.6,0.9,0,2.1,1.25
MAFACsPbSnBrClI,0,0.89,0.11,1,0,0,0,3,1.62
